Title,description,authors,publisher,publishedDate,categories
Communication and Concurrency (Prentice Hall International Series in Computer Science),Mathematics of Computing -- Parallelism.,['Robin Milner'],,1989,['Mathematics']
You can analyze handwriting: A practical tool for self-knowledge and personal power (Signet book),"Handwriting is much more than scribbles on a page; it is a universal means of communication and expression. It reveals how we're feeling, who we really are, and can even expose health issues we didn't know we had. The ability to properly analyze handwriting to uncover these secrets is the closest we can ever come to reading people's minds ... It's also a great way to discover things about yourself! You can look at someone's notes, a signature, or even a grocery list, and find out more about them than you ever could from simply asking questions. All the things we try to hide about ourselves, all the things we don't like to admit about ourselves, and even our true personalities ... are all revealed through our handwriting. You'll learn not only about yourself, but also about your friends, family and even people you are interested in dating, hiring, or doing business with. This book will help you to easily start analyzing handwriting. It has been specifically organized so that you can learn how to do it quickly and put it to use immediately. You'll discover how to: Classify people into different personality ""types"" within seconds. Answer the most common questions people want answered about themselves (and others).",['Robert Holder'],New American Library of Canada,1958,['Graphology']
The Masters,Provides stories and highlights from the Masters from its inception up through 2018.,['David Sowell'],,2021-03,['Sports & Recreation']
"Disney's Family Storybook Collection: 75 Fables for Living, Loving, and Learning",A collection of short stories adapted from Disney movies.,,,2000,"[""Children's stories""]"
Yeee-Hah,"In de laatste tien jaar is op weblogs en sociale media een literaire cultuur opgebloeid ‘van onderop’, vanuit de grenzeloze mogelijkheden van het internet, zonder bemiddeling van grote institutionele spelers. Tot wat voor soort poëzie heeft dit geleid? En kan er nog vernieuwing zijn als er geen grenzen aan snelheid en toegankelijkheid zijn? Aan de hand van werk van auteurs als Jeroen Mettes, Gertrude Stein, Arjen Duinker, Thoreau, Goldsmith en Scalapino onderzoekt Samuel Vriezen deze vragen. Hij situeert ze in een bredere wereld van muziek, beeldende kunst en politiek, en signaleert de punten waarop het alomvattende netwerk stukloopt. Samuel Vriezen heeft veel gepubliceerd over dit onderwerp – op zijn weblog ‘Vriezen vindt’, op internfora, op sociale media en in tijdschriften. Hij heeft zijn teksten grondig bewerkt en uitgebreid voor dit boek. Een bewuste keuze, want er is geen beter hulpmiddel voor een genuanceerd betoog dan een boek, geen indringender dialoogbevorderaar tussen schrijver en lezer dan een boek. Het internet blijft, maar het boek beklijft.",['Samuel Vriezen'],Wereldbibliotheek,2016-12-07,['Literary Criticism']
Reader's Text New Testament Bible (Holman Christian Standard Bible),The Holman CSB(R) Gives You Two Great Strengths in Every Package Each edition of the Holman Christian Standard Bible(R) pairs the vital benefits of accuracy and readibility. Reader's Text New Testament merges the visual clarity of large-print type with the stylistic clarity of the HCSB(R).,"['B&H Publishing Group', 'Broadman & Holman Publishers']",B&H Publishing Group,2002-01-01,['Religion']
Geology Rocks!: 50 Hands-On Activities to Explore the Earth (Kaleidoscope Kids),Presents fifty hands-on activities to introduce the science of geology and explain the formation and history of the earth.,['Cindy Blobaum'],,2008-08-11,['Juvenile Nonfiction']
Now We're Getting Somewhere (Felix Pollak Prize in Poetry),"His compassionate witness is born out of immersion in doggedly bittersweet particulars: the cock-eyed wisdom of 1950s science fiction movies; Do Not Disturb signs; vegetarian physics; the perils of bed-and-breakfast lodging; flying saucer disciples; what to do in case of Rapture; Debbie Fuller, reluctant childhood angel; the theory and practice of Spontaneous Human Combustion. His passionate transformation of that raw data into song - no matter how fragile or raucous - provides irrefutable testimony about the consequences of being nothing less than human, where ""every day someone crawls out of his ocean of sleep / and takes those first tottering steps on the planet again / he's playing with real fire."" And with Clewell's insistence on the unlikely grace in that condition, along with the generosity of his unabashed inclusiveness, his poetry is a powerful antidote to the bad medicine we're too often asked to swallow.",['David Clewell'],Univ of Wisconsin Press,1994,['Poetry']
Theonomy in Christian ethics,CD included with PDF files of the book and other materials. MP3 files of Author's lectures.,['Greg L. Bahnsen'],,2021-03-22,['Religion']
"Sermons and Discourses, 1720-1723 (The Works of Jonathan Edwards Series, Volume 10) (v. 10)","This book illustrates how Christianity in the modern era has been shaped in the direction of subjectivity. In the Enlightenment, after Locke required faith to submit to reason's judgment, Kant argued that religion should remain within the bounds of reason only. Schleiermacher shifted attention away from belief to devotion to Christ and a feeling of absolute dependence on God. Rejecting Hegel's system, Kierkegaard summoned his readers to a unique subjective approach to justification by faith. Revivalist Evangelicalism has been perceived, and portrayed itself, as a rejection of modernism. This study argues instead that the Evangelical-revivalist movement is unmistakably modern in its assumptions regarding the nature of faith. The Pietist impulse, fueled in part by modern anthropocentrism and subjectivism in religious belief, was appropriated by the Evangelical revivalists, such as John Wesley, George Whitefield, Jonathan Edwards, and, later, Charles Finney. In short, Christianity today is a religion of the heart.",['Michael A. Van Horn'],Wipf and Stock Publishers,2017-03-14,['Religion']
Road & Track Illustrated Automotive Dictionary,"Do you long for revival and power in your life? Learn how through brokenness, repentance, and confession, Jesus can fill you with His Spirit.",['Roy Hession'],CLC Ministries,2011,['Religion']
Agricultural Involution: The Processes of Ecological Change in Indonesia.,"""A remarkably interesting account of Indonesian agricultural history, primarily covering the period of Dutch control, from 1619 to 1942. Drawing on ecology, sociology, and economics, Geertz...provides an insightful and persuasive analysis.""—The Annals ""If colonial geography ever succeeds in establishing itself as a discrete and integral focus of inquiry, it may well date its majority to the publication of Agricultural Involution.""—Geographical Record ""A brilliant and superbly written study...an incisive, even frightening description of the most crucial dilemma in contemporary Indonesia.""—Agricultural History ""A valuable and important study...in which source materials from history, economics, soil science, geography and other fields are brilliantly marshalled and interrelated. But besides being an exemplary study in the interaction of history, physical environment and agricultural technology, this book represents a watershed between narrowly conceived ethnographies and the flood of verbose and ill digested post-war 'technology-and-social-change' monographs that are wont to aim high and hit wide...A model of comparative analytical writing.""—Man",['Clifford Geertz'],Univ of California Press,1963,['Business & Economics']
Nobody Knows My Name: More Notes of a Native Son,"Essays discuss race relations, segregation, the role of the writer in society, and the work of Andre Gide, Richard Wright, and Norman Mailer.",['James Baldwin'],Vintage,1993,['Biography & Autobiography']
"Imagining Robert: My Brother, Madness, and Survival : A Memoir",A prize-winning novelist offers a touching and uplifting tale of love as he explains the joys and difficulties involved in having a relationship with his mentally ill brother. Tour.,['Jay Neugeboren'],William Morrow & Company,1997,['Biography & Autobiography']
COMMUNION A TRUE STORY,"On December 26th 1985 Whitley Strieber was woken in his isolated cabin in upstate New York, he saw a creature in his bedroom. His next memory is sitting in the woods around the cabin. Hypnosis revealed that Whitley Strieber had been abducted by a UFO and that he had been subjected to medical testing by aliens. Strieber came to realise that he had been abducted by these alien life forms for most of his life, and began to record his experiences with visitors from 'elsewhere'. Whether the reader believes or not his story it will fascinate and terrify. The sincerity and detail of Strieber's account of his experiences is powerful and it will force every reader to ask: what are the aliens trying to communicate, are they here to guide and transform mankind, has the greatest mystery of our time been solved? Is Whitley Strieber an ambassador for beings from another world to contact mankind?",['Whitley Strieber'],Souvenir Press,2016-11-01,"['Body, Mind & Spirit']"
Have You Got My Purr?,"Little Kitten's purr is missing! So Little Kitten sets off in search of it on the farm. Cow hasn't got it and neither has Sheep. Wherever can it be? My First Storybooks are perfect for reading aloud andsharing with your special little one. With simple, easy-to-follow stories,these shiny, padded-cover books introduce fun vocabulary and have bright engagingpictures throughout.","['Judy West', 'Tim Warnes']",,2014-05-05,['Animal sounds']
Peterson First Guide to Urban Wildlife,Presents the novice with information about the plants and animals--from poison ivy and cockroaches to crabgrass and mountain lions--that grow and live near humans,['Roger Tory Peterson'],Houghton Mifflin Harcourt,1998-08,['Nature']
The Glass is Half Full and Frozen,"This novel is a business guide designed to educate and inspire. The story demonstrates philosophies I used to create several companies. The Glass is Half Full and Frozen outlines that a positive mental attitude is good, but a sustainable business model and great leadership is needed to achieve full potential. Follow the characters as they learn from mistakes and work together as a team to revitalize a struggling company.",['Edward Ducoin'],New Edventures Pub,2006-02-01,['Business & Economics']
Buddhist Astrology: Chart Interpretation from a Buddhist Perspective,"Throughout history, astrology was considered a scholarly tradition, relied upon by world leaders, philosophers and spiritual teachers to guide civilizations in all areas of life. Historically, astrology was accepted in political and academic contexts, and was connected with astronomy, alchemy, meteorology and medicine. Although since the end of the 17th century, science called astrology into question, many scholars are now reviving its role in shaping our understanding of the world. Buddhist Astrology is a form of archetypal astrology that helps us understand the role of the cosmic cycles in relation to our understanding and identification with Buddhist philosophy and mythology. It helps us understand the role of interdependence, a primary Buddhist belief, with our personal genetics, family history, education, and other social and cultural influences. Buddhist Astrology recognizes that there is a critical need to balance the physical world around us with conditions we were born into, from a karmic or cosmic perspective. The interdependence of these factors makes us able to live in a world full of choices while honoring the basic dynamic trends pulling us in one direction or another.","['Jhampa Shaneman', 'Jan V. Angel']",,2013-09-01,['Religion']
Sarawak,"De geschiedenis van de drie Britse radjas̕ Brooke die tussen 1841 en 1946 als verlichte despoten regeerden over Sarawak, het noordwestelijke deel van Borneo.",['Robert Payne'],,1988,['Sarawak']
Dollmakers and Their Stories: Women Who Changed the World of Play,"""Dolls are not a luxury. They are as necessary to a child's life as a loaf of bread . . . What a doll does for a little girl is develop her capacity to love others and herself."" -Madame Alexander A wonderful offering for young doll enthusiasts and women's history buffs alike This fascinating book tells the stories of courageous dollmakers, all of whom were-and continue to be-filled with passion, vision, and determination. They are the unsung heroines behind some of the most important dolls of the last hundred years-such as Barbie (Ruth Handler) and Madame Alexander's collection (Beatrice Alexander). Entrepreneurs and feminists of their time, these strong women displayed both creative genius and astute business acumen, serving as excellent role models for today's young female readers.",['Krystyna Poray Goddu'],Henry Holt and Company (BYR),2004-10-01,['Juvenile Nonfiction']
"God Gave Us the Right Conservative Catholic, Evangelical Protestant, and Orthodox Jewish Women Grapple With Feminism","A comparative study of women who have converted or returned to conservative Protestant, Catholic, and Jewish communities, looking at the way they reconcile modern secular ideas--feminism in particular--with the demands and rewards of traditional religious participation.",['Christel Manning'],Rutgers University Press,1999,['Religion']
Ancient European Costume and Fashion (Dover Fashion and Costumes),"Clothing styles from prehistory to A.D. 1066 displayed in over 160 illustrations. Draped robes of classical Greece, the apparel of a 10th-century Byzantine emperor, garments of peasants, as well as footwear, hairstyles, jewelry, more.",['Herbert Norris'],Courier Corporation,2013-01-23,['Antiques & Collectibles']
All in the Timing,"The world according to David Ives is a very add place, and his plays constitute a virtual stress test of the English language -- and of the audience's capacity for disorientation and delight. Ives's characters plunge into black holes called ""Philadelphias,"" where the simplest desires are hilariously thwarted. Chimps named Milton, Swift, and Kafka are locked in a room and made to re-create Hamlet. And a con man peddles courses in a dubious language in which ""hello"" translates as ""velcro"" and ""fraud"" comes out as ""freud."" At once enchanting and perplexing, incisively intelligent and side-splittingly funny, this original paperback edition of Ives's plays includes ""Sure Thing,"" ""Words, Words, Words,"" ""The Universal Language,"" ""Variations on the Death of Trotsky,"" ""The Philadelphia,"" ""Long Ago and Far Away,"" ""Foreplay, or The Art of the Fugue,"" ""Seven Menus,"" ""Mere Mortals,"" ""English Made Simple,"" ""A Singular Kinda Guy,"" ""Speed-the-Play,"" ""Ancient History,"" and ""Philip Glass Buys a Loaf of Bread.""",['David Ives'],Vintage,2010-11-10,['Drama']
With a Daughter's Eye: A Memoir of Margaret Mead and Gregory Bateson,"A portrait of Margaret Mead and Gregory Bateson by their daughter offers new insight into the lives, careers, and achievements of two distinguished and controversial American anthropologists",['Mary Catherine Bateson'],Pocket Books,1985,['Biography & Autobiography']
"Italian Family Dining: Recipes, Menus, and Memories of Meals with a Great American Food Family","The author of the classic Italian Family Cooking teams up with his daughter to present an array of seasonal recipes, sharing stories that evince the family's Italian countryside heritage and explain how to prepare such dishes as Strawberry Flan, Grilled Duck Breast, and Mesclun Salad.","['Edward Giobbi', 'Eugenia Giobbi Bone']",Rodale,2005-10-20,['Cooking']
The Bonfire of the Vanities,"An exhilarating satire of Eighties excess that captures the effervescent spirit of New York, from one of the greatest writers of modern American prose. Sherman McCoy is a WASP, bond trader and self-appointed 'Master of the Universe'. He has a fashionable wife, a Park Avenue apartment and a Southern mistress. His spectacular fall begins the moment he is involved in a hit-and-run accident in the Bronx. Prosecutors, newspaper hacks, politicians and clergy close in on him, determined to bring him down. Exuberant, scandalous and exceptionally discerning, The Bonfire of the Vanities was Tom Wolfe's first venture into fiction and cemented his reputation as the foremost chronicler of his age. 'The air of New York crackles with an energy that causes the adrenalin to pump... The feeling is perfectly reproduced in Wolfe's novel... Electric' Sunday Times 'The quintessential novel of The Eighties' The Guardian",['Tom Wolfe'],Random House,2018-06-21,['Fiction']
Soul Searching Journal: A Guide to Self Discovery for Girls,"An updated, indispensable guide to empowerment and self-discovery for teens. While fashion magazines, television programs, and websites emphasize the superficial and foster insecurities, Sarah Stillman directs teen girls to a healthy place where a strong sense of self and direction take center stage. Originally written when the author was just sixteen, Soul Searching has been fully updated and expanded to address the concerns of today’s teens, bringing girl power to the printed page by offering young women a clear path to self-discovery and empowerment. Through fun quizzes, insightful exercises, and provocative statistics, Stillman guides young women through the complex maze between adolescence and adulthood. Featuring updated sections on safe cell-phone use, social media, health, and gender, as well as including updated resources throughout, Soul Searching is a must-read for teenage girls.",['Sarah Stillman'],Simon and Schuster,2012-01-03,['Juvenile Nonfiction']
Conan The Valiant,Conan accompanies a powerful sorceress on a dangerous mission to the Ibars Mountains to recover a powerful gem from a necromancer who intends to use it to raise an army of demons and rule the world. Reissue.,['Roland Green'],Macmillan,1989-08-15,['Fiction']
30 Ways Managers Shoot Themselves In The Foot: And How to Avoid Them,"By first recognizing and then avoiding the ways managers shoot themselves in the foot, any manager will manage more effectively. Many managers report more positive results almost immediately.",['Bill Lee'],"Lee Resources, Inc.",2005-10,['Business & Economics']
The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,"Introduces all of Marvel's greatest heroes and villains, with full details about their powers and careers.","['DK Publishing, Inc']",Dk Pub,2006,['Comics & Graphic Novels']
"Convection Heat Transfer, 2nd Edition",A modern and broad exposition emphasizing heat transfer by convection. This edition contains valuable new information primarily pertaining to flow and heat transfer in porous media and computational fluid dynamics as well as recent advances in turbulence modeling. Problems of a mixed theoretical and practical nature provide an opportunity to test mastery of the material.,['Louis C. Burmeister'],John Wiley & Sons,1993-10-06,['Science']
Her Secret Children (Silhouette Romance #1648),"Her Secret Children by Judith McWilliams released on Feb 21, 2003 is available now for purchase.",['Judith McWilliams'],Harlequin Books,2003-02-21,['Fiction']
Eeyore Loses a Tail,"Well either a tail is there or it isn’t there. You can’t make a mistake about it, and yours isn’t there! --Winnie-the-Pooh Eeyore’s tail has gone missing and Pooh promises to find it in this charming Winnie-the-Pooh story by A. A. Milne. Now available as an individual storybook with E.H. Shepard’s illustrations.",['A. A. Milne'],,2016-04-07,
Mandarin gold;: A novel,"Filmed as The Sea Wolves, this is the story of the undercover exploit of a territorial unit. The Germans had a secret transmitter on one of their ships in the neutral harbour of Goa. Its purpose was to guide the U-boats against Allied shipping in the Indian Ocean. There seemed no way for the British to infringe Goa’s Portuguese neutrality by force. But the transmitter had to be silenced. SOE was tasked with dealing with the problem, but how? Then it was remembered that 1,400 miles away in Calcutta was a source of possible help. A group of civilian bankers, merchants and solicitors were the remains of an old territorial unit called The Calcutta Light Horse. With a foreword by Earl Mountbatten of Burma. Daily Mirror 'One of the most decisive actions in World War II was fought by fourteen out-of-conditions middle-aged men sailing in a steam barge...' New York Times Book Review ''Mr. Leasor’s book is truth far more engrossing than fiction… A gem of World War II history.'",['James Leasor'],James Leasor Publishing,2011-04-25,['History']
Madeline Vionnet,Portrays the life and techniques of the master fashion designer who developed new pattern making techniques and designed her clothes around the natural form instead of using corsets on her models,['Betty Kirke'],Chronicle Books Llc,1998,['Design']
"Quebec Off the Beaten Path, 4th (Off the Beaten Path Series)","Tired of the same old tourist traps? Whether you’re a visitor or a local looking for something different, let Québec Off the Beaten Path show you la belle province—the beautiful province—you never knew existed. Cheer on canines and human mushers in the annual dogsled race during Winter Carnival; sleep in a bedroom made of snow and ice in the Ice Hotel; or ride the rapids of the Ottawa River on a whitewater rafting trip. So if you’ve “been there, done that” one too many times, get off the main road and venture Off the Beaten Path.","['Katharine Fletcher', 'Eric Fletcher']",Rowman & Littlefield,2010-06-01,['Travel']
Offshore Pioneers: Brown & Root and the History of Offshore Oil and Gas,"Fifty years ago, in November 1947, Brown & Root helped Kerr-McGee build the first out-of-sight-of-land offshore platform that produced oil. This history puts a human face on the process of technological change. Using the words of many of those who took part in Brown & Root's offshore activities, this book recounts their efforts to find practical ways to recover offshore oil.","['Joseph A. Pratt', 'Tyler Priest', 'Christopher J. Castaneda']",Gulf Professional Publishing,1997-11-17,['Business & Economics']
I Know A Story,"NEW YORK TIMES BESTSELLER • The definitive guide to telling an unforgettable story in any setting, drawing on twenty-five years of experience from the storytelling experts at The Moth “From toasts to eulogies, from job interviews to social events, this book will help you with ideas, structure, delivery and more.”—CNN Over the past twenty-five years, the directors of The Moth have worked with people from all walks of life—including astronauts, hairdressers, rock stars, a retired pickpocket, high school students, and Nobel Prize winners—to develop true personal stories that have moved and delighted live audiences and listeners of The Moth’s Peabody Award–winning radio hour and podcast. A leader in the modern storytelling movement, The Moth inspires thousands of people around the globe to share their stories each year. Now, with How to Tell a Story, The Moth will help you learn how to uncover and craft your own unique stories, like Moth storytellers Mike Birbiglia, Rosanne Cash, Neil Gaiman, Elizabeth Gilbert, Padma Lakshmi, Darryl “DMC” McDaniels, Hasan Minhaj, Tig Notaro, Boots Riley, Betty Reid Soskin, John Turturro, and more. Whether your goal is to make it to the Moth stage, deliver the perfect wedding toast, wow clients at a business dinner, give a moving eulogy, ace a job interview, be a hit at parties, change the world, or simply connect more deeply to those around you, stories are essential. Sharing secrets of The Moth’s time-honed process and using examples from beloved storytellers, a team of Moth directors will show you how to • mine your memories for your best stories • explore structures that will boost the impact of your story • deliver your stories with confidence • tailor your stories for any occasion Filled with empowering, easy-to-follow tips for crafting stories that forge lasting bonds with friends, family, and colleagues alike, this book will help you connect authentically with the world around you and unleash the power of story in your life.","['The Moth', 'Meg Bowles', 'Catherine Burns', 'Jenifer Hixson', 'Sarah Austin Jenness', 'Kate Tellers']",Crown,2022-04-26,['Performing Arts']
Film Noir Reader,"Interviewees include Billy Wilder (Double Indemnity and Sunset Boulevard), Otto Preminger (Laura), Joseph Lewis (Gun Crazy and The Big Combo), Curtis Bernhardt (Possessed and A Stolen Life), Edward Dmytryk (Murder, My Sweet and Crossfire), and Fritz Lang (Scarlet Street and The Woman in the Window).",['Alain Ursini'],Hal Leonard Corporation,2002,['Performing Arts']
The Tale of an Anklet: An Epic of South India: The Cilappatikaram of Ilanko Atikal,"Originating in Tamil mythology, Cilappatikaram is the love story of Kannaki and Kovalan. Kannaki wears a circular anklet representing the power, strength and dignity of the goddess Pattini. Goddess status is bestowed upon Kannaki as her life undergoes the same fate as the anklet that is stolen and used as a weapon.",['Iḷaṅkōvaṭikaḷ'],Columbia University Press,1993,['Literary Criticism']
BMW Z-Series: The Complete Story,"BMW, that most performance-oriented of car companies, had no affordable sports roadster in its line-up before 1995. Stung into action by Mazda's revival of the classic two-seater roadster, the Germany company quickly staked its claim with the Z3, a classic long-nose, short-tail design that used existing BMW mechanical hardware to good effect. This new book tells the story of BMW's Z3 and Z4 two-seater roadsters and coupes, which since 1995 have been at the forefront of the affordable sports car market. The history of the Z3 and both generations of Z4 are covered as well as full specifications of all models; the formidable M Power derivatives and a guide to buying and owning. The book is profusely illustrated with over 200 colour photographs and diagrams. Contents include: Historical background to BMW's arrival in the two-seater sports car market; Complete history of the Z3 and both generations of Z4; Full specifications of all models; The formidable M Power derivatives; Guide to buying and owning.",['James Taylor'],The Crowood Press,2017-03-31,['Transportation']
The dream book;: First comes the dream,Children and animals dream of many different things and what may be.,['Margaret Wise Brown'],,1950,['Dreams']
"A CHECKLIST OF THE TREES, SHRUBS, HERBS, AND CLIMBERS OF MYANMAR (CONTRIBUTIONS FROM THE UNITED STATES NATIONAL HERBARIUM, VOLUME 45: 1-590).","""Following on the successes of two previous dictionary projects, the CRC World Dictionary of Plant Names and the CRC World Dictionary of the Grasses, Umberto Quattrocchi has undertaken this dictionary of economically important plants.... He has done for these plants what was so admirably done in his other works—brought the vast and scattered literature on plant names, and in this case, too, their uses, into coherent order so that the inquisitive scholar can get a foothold."" —From the Foreword, Donald H. Pfister, Harvard University and Harvard University Herbaria, Cambridge, Massachusetts The CRC World Dictionary of Medicinal and Poisonous Plants: Common Names, Scientific Names, Eponyms, Synonyms, and Etymology provides the starting point for better access to data on plants used around the world in medicine, food, and cultural practices. The material found in the five volumes has been painstakingly gathered from papers of general interest, reports and records, taxonomic revisions, field studies, herbaria and herbarium collections, notes, monographs, pamphlets, botanical literature, and literature tout court. It includes sources available at various natural history libraries, floras and standard flora works, local floras and local histories, nomenclatural histories, and the International Code of Botanical Nomenclature. Much more than a dictionary, the book provides the names of thousands of genera and species of economically important plants, concise summaries of plant properties, and appropriate observations about medicinal uses. Drawing from a tremendous range of primary and secondary sources, it is an indispensable time-saving guide for all those involved with botany, herbal medicine, pharmacognosy, toxicology, medicinal and natural product chemistry, and agriculture.",['Umberto Quattrocchi'],CRC Press,2012-05-03,['Science']
IN MIDLIFE : A JUNGIAN PERSPECTIVE,"Midlife: crisis, anger, change... Drawing on analytic experience, dreams, and myths, the author, a well-known analyst, formulates the three main features of the middle passage. First an erosion of attachments. Then hints of a fresh spirit, renegade and mischievous, that scoffs at routines. This new spirit disrupts life and alarms family and friends. Finally, with luck, a transformation occurs; life begins again. Murray Stein, former president of the International Association for Analytical Psychology, has written a best-selling, good-humored book, brimming with shrewd counsel and cultural relevance.",['Murray Stein'],Chiron Publications,2014-10-13,['Psychology']
"Geometric Dimensioning and Tolerancing: Applications and Techniques for Use in Design: Manufacturing, and Inspection (Dekker Mechanical Engineering)","Explaining the symbology of dimensioning and tolerancing and introducing a step-by-step system for geometric definition, this book provides examples for the application of geometric controls. The author breaks down the language of geometric product definition into a series of steps that consist of significant questions to be asked at any point in the product definition. He addresses functional requirements and manufacturing techniques, measurement, inspection, and gaging procedures. The book illustrates how symbology is best utilized, in what order it should be applied, and how each geometric control anticipates, integrates, and complements all other geometric controls on a part and in an assembly.",['James D. Meadows'],CRC Press,1995-05-04,['Technology & Engineering']
That Night,"Gillian McAllister schreef met Alles behalve de waarheid een intense roman over wat je elkaar vertelt en wat niet, en over de alles overwinnende kracht van de liefde. Het begon allemaal met een e-mail. Het scherm van Jacks iPad lichtte midden in de nacht op. Het was niet Rachels bedoeling om te kijken. Ze houdt van Jack en draagt zijn kind. Ze vertrouwt hem, ook al kennen ze elkaar nog maar kort. Maar nu Rachel het bericht gezien heeft, laat het haar niet meer los en stort haar leven als een kaartenhuis in. Waarom loog Jack over zijn verleden? Wat heeft hij precies te verbergen? Heeft Rachel niet het recht om de waarheid te weten? Maar is ze zelf wel oprecht naar Jack over haar eigen verleden?",['Gillian McAllister'],Ambo|Anthos,2017-11-21,['Fiction']
The New Penguin Atlas of Ancient History: Revised Edition,"The Penguin Atlas of Ancient History illustrates in a chronological series of maps, the evolution and flux of races in Europe, the Mediterranean area and the Near East. From 50,000 B.C. to the fourth century A.D., it is one of the most successful of the bestselling historical atlas series.",['Colin McEvedy'],Penguin,2003-05-27,['History']
Your Lolita,"Qu’on soit scandalisé ou touché – ou les deux à la fois – on ne peut guère refuser de voir en Lolita une œuvre de grande envergure narrative et poétique. À sa sortie, la critique s’est montrée à certains moments offensée, à d’autres enchantée : Lionel Trilling y voyait moins le récit d’une aberration qu’une histoire d’amour ; Kingsley Amis trouvait l’oeuvre réjouissante mais insuffisamment érotique. Moins sentimentale, la critique actuelle fait aussi preuve de nettement moins de clémence à l’égard de son narrateur. Toujours est-il que la force de persuasion, l’ambiguïté et la subtilité de cette œuvre sont telles que le lecteur ou la lectrice peut difficilement se défendre d’être tour à tour transformé en esthète émerveillé, en juge réprobateur, en juré partagé, en amant passionné, en voyeur ou même en nymphette consentante. Destiné aux étudiants préparant le Capes et l’Agrégation d’anglais, cet ouvrage rédigé par des spécialistes de littérature américaine et russe se penche sur les aspects sociologiques, biographiques, structurels, stylistiques, intertextuels, génériques et cinématographiques de Lolita..",['Erik Martiny'],Editions Sedes,2009-11-12,['Education']
Mere Christianity,"In the classic Mere Christianity, C.S. Lewis, the most important writer of the 20th century, explores the common ground upon which all of those of Christian faith stand together. Bringing together Lewis’ legendary broadcast talks during World War Two from his three previous books The Case for Christianity, Christian Behavior, and Beyond Personality, Mere Christianity provides an unequaled opportunity for believers and nonbelievers alike to hear this powerful apologetic for the Christian faith.",['C. S. Lewis'],Harper Collins,2009-06-02,['Religion']
Fear of Flying CD,"This is the first authoritative work to examine the psychological determinants and effects associated with the 'fear of flying'. The contents include: · the extent and nature of the problem of fear of flying; · understanding public perceptions of safety associated with flying; · assessment of clients; psychological treatment approaches; · the use of specific interventions (e.g. virtual reality) and clinical case studies. It is an up-to-date and wide-ranging handbook, covering theory, research and practice. The international panel of authors are all experienced researchers and clinicians, and are leaders in their respective fields. The book is intended for those who work professionally in commercial and military aviation. This includes aviation psychologists, aerospace medical/nursing personnel, flying instructors, clinical psychologists and psychiatrists and those involved in fear of flying programs. A secondary audience includes researchers, professionals with an interest in anxiety/phobia, travel health clinic nurses and counsellors/therapists. Those who have a fear of flying themselves will also find the contents of interest.",['Lucas van Gerwen'],Routledge,2017-03-02,['Transportation']
F. Holland Day: Suffering the Ideal,"The short-lived career of nineteenth-century photographer F. Holland Day is the basis for this important historical monograph. Though he is perhaps best known for his controversial ""sacred subjects"" in which he posed himself as Jesus Christ, Day quickly moved to the forefront of American photography with his portraiture and his later mythological series. Day was probably the first great photographer of the male nude. A friend of Oscar Wilde and an early proponent of gay rights, women's rights, and racial equality, scandal surrounded him and caused his marginalization.","['Fred Holland Day', 'James Crump']",Twin Palms Pub,1995,['Photography']
"Aikman: Mind, Body & Soul","This inside story, in pictures, words, and thoughts by Troy Aikman, will bring a better understanding of the immense popularity of America's most successful football teams and one of the best players of the game. The Dallas Cowboys are America's team and Aikman is the personification of this legendary team.",['Troy Aikman'],,1998,['Football players']
The City of Women: A Sequence of Poems and Prose,"""Beautifully rendered.... Santos's greatest accomplishment here is not that he provides answers for the unanswerable, but that he convinces readers that love creates words whose syllables we are laved in, / Whose meanings keep endlessly coming to pass. Publishers Weekly""",['Sherod Santos'],W. W. Norton,1994-04-01,
Peter Graves,"Loaded with new Peter Graves features. This book is your ultimate resource for Peter Graves. Here you will find the most up-to-date 141 Success Facts, Information, and much more. In easy to read chapters, with extensive references and links to get you to know all there is to know about Peter Graves's Early life, Career and Personal life right away. A quick look inside: Guilty Pleasures (Barbra Streisand album) - Personnel, Death Car on the Freeway, Golden Globe Award for Best Actor - Television Series Drama - 1970s, Peter Graves - Career, Peter Graves (actor), Joe Weider - Life and career, Mary Camden - The Camdens (Eric's Parents), Hill Street Blues - Production, Stalag 17 - Plot, A Rage to Live - Cast, Bradford Dillman - Film, TV other work, Beneath the 12-Mile Reef - Cast, The Sound of Music - Other productions, Airplane! - Cast, The Great Adventure (TV series) - Notable guest stars, Mickey Rooney - Television, stage and The Black Stallion, Barbara Rush - Career, Jane Russell - Silver-screen decline, The Golden Girls - Recurring characters, SST: Death Flight - Plot, Red Rock West - Production, Verna Bloom, Ann Robinson - Acting career, Leslie Nielsen - Airplane! and The Naked Gun, Roger Ingram - Career, Impossible Missions Force - The Original Mission: Impossible TV series, Fury (TV series), American Advisors Group - Spokesmen, Rita Moreno - Broadway and television, Shadow Dancing (song) - Personnel, Gene Autry - Radio and television career, 1953 in film - Notable films released in 1953, Denver Pyle - Career, Diagnosis Murder - Guest Stars, Radcliffe College - Popular culture, I. Stanford Jolley - Television roles, (Remember Me) I'm the One Who Loves You - Track listing, and much more...",['Nathan Hickman'],Emerge Publishing Group Llc,2014-07-09,['Biography & Autobiography']
